cord_uid,sha,source_x,title,doi,pmcid,pubmed_id,license,abstract,publish_time,authors,journal,mag_id,who_covidence_id,arxiv_id,pdf_json_files,pmc_json_files,url,s2_id
542e5h1u,322478c3c7cc2498a928597f28aea6c0aa39c5ea,PMC,Coronavirus disease: challenges for psychiatry,10.1192/bjp.2020.86,PMC7205546,32293555,cc-by,"Coronavirus disease (COVID-19) presents two urgent health problems: the illness caused by the virus itself and the anxiety, panic and psychological problems associated with the pandemic. Both problems present substantial challenges for our patients, their families, our multidisciplinary teams and our psychiatrist colleagues. We need good psychiatry, now more than ever.",2020-04-15,"Kelly, Brendan D.",,,,,document_parses/pdf_json/322478c3c7cc2498a928597f28aea6c0aa39c5ea.json,document_parses/pmc_json/PMC7205546.xml.json,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7205546/,
k38xlki3,22294046de643fbde83f3767f493b38bbfe69478,PMC,Immune responses and histopathological changes in rabbits immunized with inactivated SARS coronavirus,10.1007/s12250-007-0033-0,PMC7090504,,no-cc,"To evaluate the immunogenicity of inactivated SARS coronavirus (SARS-CoV), three groups of rabbits were immunized three times at 2-week intervals with inactivated vaccine + adjuvant, adjuvant, and normal saline respectively. Eight batchs of serum were sampled from the auricular vein at day 7 to day 51, and specific IgG antibody titers and neutralizing antibody titers were detected by indirect ELISA and micro-cytopathic effect neutralizing test. Antibody specificity was identified by proteinchip assay. Histopathological changes were detected by H&E staining. The results showed that, rabbits in the experimental group immunized with inactivated SARS-CoV all generated specific IgG antibodies with neutralizing activity, which suggested the inactivated SARS-CoV could preserve its antigenicity well and elicit an effective humoral immune responses. The peak titer value of specific IgG antibody and neutralizing antibody reached 1:40960 and 1:2560 respectively. In the experimental group, no obvious histopathological changes was detected in the H&E stained slides of heart, spleen, kidney and testis samples, but the livers had slight histopathological changes, and the lungs presented remarkable histopathological changes. These findings are of importance for SARS-CoV inactivated vaccine development.",2008-01-13,"Zhang, Chuan-hai; Liu, Xin-jian; Wang, Yi-fei; Lu, Jia-hai; Zheng, Huan-ying; Xiong, Sheng; Zhang, Mei-ying; Liu, Qiu-ying",Virol Sin,,,,document_parses/pdf_json/22294046de643fbde83f3767f493b38bbfe69478.json,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7090504/,
miupbeuy,b5042f7a9e88b4f64c47b297deaf0bc24f0be591,PMC,Indirect Enzyme-Linked Immunosorbent Assay based on the nucleocapsid protein of SARS-like coronaviruses,10.1007/s12250-009-3037-0,PMC7090808,,no-cc,"The nucleocapsid protein (N) is a major structural protein of coronaviruses. The N protein of bat SARS-like coronavirus (SL-CoV) has a high similarity with that of SARS-CoV. In this study, the SL-CoV N protein was expressed in Escherichia coli, purified and used as antigen. An Indirect Enzyme-Linked Immunosorbent Assay (indirect ELISA) was developed for detection of SARS- or SL-CoV infections in bat populations. The detection of 573 bat sera with this indirect ELISA demonstrated that SL-CoVs consistently circulate in Rhinilophus species, further supporting the proposal that bats are natural reservoirs of SL-CoVs. This method uses 1–2 μl of serum sample and can be used for preliminary screening of infections by SARS- or SL-CoV with a small amount of serum sample.",2009-04-14,"Yuan, Jun-fa; Li, Yan; Zhang, Hua-jun; Zhou, Peng; Ke, Zhen-hua; Zhang, Yun-zhi; Shi, Zheng-li",Virol Sin,,,,document_parses/pdf_json/b5042f7a9e88b4f64c47b297deaf0bc24f0be591.json,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7090808/,
iawcsntb,1f91399656745ff094d50a364a03f687866f9447,PMC,Virus Neutralization Assay for Turkey Coronavirus Infection,10.1007/978-1-4939-3414-0_3,PMC7120153,,no-cc,Turkey coronavirus (TCoV) infection induces the production of protective antibodies against the sequent exposure of TCoV. Serological tests to determine TCoV-specific antibodies are critical to evaluate previous exposure to TCoV in the turkey flocks and differentiate serotypes from different isolates or strains. A specific virus neutralization assay using embryonated turkey eggs and immunofluorescent antibody assay for determining TCoV-specific neutralizing antibodies is described in this chapter. Virus neutralization titer of turkey serum from turkeys infected with TCoV is the dilution of serum that can inhibit TCoV infection in 50 % of embryonated turkey eggs. Virus neutralization assay for TCoV is useful to monitor the immune status of turkey flocks infected with TCoV for the control of the disease.,2015-09-10,"Chen, Yi-Ning; Wu, Ching Ching; Lin, Tsang Long",Animal Coronaviruses,,,,document_parses/pdf_json/1f91399656745ff094d50a364a03f687866f9447.json,document_parses/pmc_json/PMC7120153.xml.json,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7120153/,
8fmykb4c,cc60602cd24812b0fb84f95b5cd86c37cc41e5f0,PMC,Investigation of Animal Reservoir(s) of SARS-CoV,10.1007/978-0-387-75722-3_4,PMC7121429,,no-cc,"Severe acute respiratory syndrome (SARS) is a novel infectious disease in the new millennium. It has been ascertained that a new coronavirus, SARS-CoV, is the etiological agent of SARS. While the extraordinarily rapid isolation and full genome sequencing of SARS-CoV constituted a remarkable scientific achievement, identification of the actual animal reservoir(s) of SARS-CoV is more difficult. Initial evidences indicated that the masked palm civet (Paguma larvata) was the primary suspect of the animal origin of SARS (Guan et al., 2003; Song et al., 2005). Recent studies suggested that horseshoe bat is one of the real reservoirs (Lau et al., 2005; Li et al., 2005) and masked palm civet may have only served as an intermediate amplification host for SARS-CoV and fulfilled efficient interspecies transmission (Lau et al., 2005). This chapter will summarize the studies on the animal reservoir(s) of SARS-CoV.",2008,"Hu, Zhihong; Shi, Zhengli",Emerging Infections in Asia,,,,document_parses/pdf_json/cc60602cd24812b0fb84f95b5cd86c37cc41e5f0.json,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7121429/,
0te5ybjv,b9150815ccdf8631c77786ab87cdc67833bc4d24,PMC,Antibody-Capture Enzyme-Linked Immunosorbent Assay for Detection of Antibody to Turkey Coronavirus Using Infectious Bronchitis Virus or Recombinant Nucleocapsid Protein as Coating Antigen,10.1007/978-1-4939-3414-0_5,PMC7122138,,no-cc,"Turkey coronavirus (TCoV) infection continues to threaten turkey industry. Because specific treatment and effective vaccination program are not available, rapid and cost-effective detection of antibodies to TCoV infection is an important control measure to monitor the disease status in the fields. Two antibody-capture enzyme-linked immunosorbent assay (ELISA) procedures for detection of antibodies to TCoV are outlined in this chapter. One ELISA method uses chicken infectious bronchitis coronavirus (IBV) as the coating antigen based on antigenic cross-reactivity between TCoV and IBV. The other method relies on a recombinant TCoV nucleocapsid protein. Both methods are useful for serological diagnosis of TCoV infection in the turkey flocks.",2015-09-10,"Loa, Chien Chang; Abdelwahab, Mohamed; Chen, Yi-Ning; Hsieh, Ming-Kun; Wu, Ching Ching; Lin, Tsang Long",Animal Coronaviruses,,,,document_parses/pdf_json/b9150815ccdf8631c77786ab87cdc67833bc4d24.json,document_parses/pmc_json/PMC7122138.xml.json,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7122138/,
3qzlo90e,109de01a5e2fc889145acb33df17bd96862304f0,PMC,The Human Coronaviruses,10.1007/978-3-319-95111-9_11,PMC7122141,,no-cc,"The human coronaviruses have been shown to be a major player in clinical microbiology and frequently occur as pathogens responsible for mild to severe respiratory infections. Moreover, two of the most dangerous viral respiratory infections are caused by novel coronaviruses, namely, the SARS and the MERS coronavirus. This chapter briefly summarizes the most important facts and knowledge required for the appropriate laboratory diagnostics of infections caused by the human coronaviruses.",2018-11-10,"Schildgen, Oliver",Advanced Techniques in Diagnostic Microbiology,,,,document_parses/pdf_json/109de01a5e2fc889145acb33df17bd96862304f0.json,document_parses/pmc_json/PMC7122141.xml.json,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7122141/,
imjtwt0b,53ea5bff6402b595e1714ee36fe982d98dccb825,PMC,Equine Coronavirus Infection,10.1007/978-3-319-47426-7_4,PMC7122635,,no-cc,"Equine coronavirus (ECoV) is an emerging virus associated clinically and epidemiologically with fever, depression, anorexia, and less frequently colic or diarrhea in adult horses. Sporadic cases and outbreaks have been reported with increased frequency since 2010 from Japan, the USA, and more recently from Europe. A feco-oral transmission route is suspected, and clinical or asymptomatic infected horses appear to be responsible for direct and indirect transmission of ECoV. A presumptive clinical diagnosis of ECoV infection may be suggested by clinical presentation and hematological abnormalities such as leukopenia due to lymphopenia and/or neutropenia. Confirmation of ECoV infection is provided by specific ECoV nucleic acid detection in feces by quantitative PCR or demonstration of coronavirus antigen by immunohistochemistry or electron microscopy in intestinal biopsy material obtained ante- or postmortem. The disease is generally self-limiting and horses typically recover with symptomatic supportive care. Complications associated with disruption of the gastrointestinal barrier have been reported in some infected horses and include endotoxemia, septicemia, and hyperammonemia-associated encephalopathy. This chapter reviews current knowledge concerning the etiology, epidemiology, clinical signs, diagnosis, pathology, treatment, and prevention of ECoV infection in adult horses.",2016-10-13,"Pusterla, Nicola; Vin, Ron; Leutenegger, Christian; Mittel, Linda D.; Divers, Thomas J.",Emerging and Re-emerging Infectious Diseases of Livestock,,,,document_parses/pdf_json/53ea5bff6402b595e1714ee36fe982d98dccb825.json,document_parses/pmc_json/PMC7122635.xml.json,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7122635/,
w19kd6yp,221120f30c3ae1ffd34c066850c5ec003131611b,PMC,PCR Amplification and Sequencing Analysis of Full-Length Turkey Coronavirus Spike Gene,10.1007/978-1-4939-3414-0_14,PMC7122697,,no-cc,"Turkey coronaviral enteritis caused by turkey coronavirus (TCoV) continues to infect turkey flocks, resulting in significant economic loss. Determining and understanding genetic relationships among different TCoV isolates or strains is important for controlling the disease. Using two-step RT-PCR assays that amplify the full length of TCoV spike (S) gene, TCoV isolates can be sequenced, analyzed, and genotyped. Described in this chapter is the protocol on PCR amplification and sequencing analysis of full-length TCoV S gene. Such protocol is useful in molecular epidemiology for establishing an effective strategy to control the transmission of TCoV among turkey flocks.",2015-09-10,"Chen, Yi-Ning; Akin, Aydemir; Loa, Chien Chang; Ababneh, Mustafa; Cao, Jianzhong; Chen, Wan-Jung; Wu, Ching Ching; Lin, Tsang Long",Animal Coronaviruses,,,,document_parses/pdf_json/221120f30c3ae1ffd34c066850c5ec003131611b.json,document_parses/pmc_json/PMC7122697.xml.json,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7122697/,
5nyoxono,88d2540f6722a38897471e7fd766af7904c786c1,PMC,Host Immune Responses to SARS Coronavirus in Humans,10.1007/978-3-642-03683-5_16,PMC7123234,,no-cc,"The severe acute respiratory syndrome (SARS) is a newly identified infectious disease caused by a novel zoonotic coronavirus (SARS-CoV) with unknown animal reservoirs. The risk of SARS reemergence in humans remains high due to the large animal reservoirs of SARS-CoV-like coronavirus and the genome instability of RNA coronaviruses. An epidemic in 2003 affected more than 8,000 patients in 29 countries, with 10% mortality. SARS infection is transmitted by air droplets. Clinical and laboratory manifestations include fever, chills, rigor, myalgia, malaise, diarrhea, cough, dyspnoea, pneumonia, lymphopenia, neutrophilia, thrombocytopenia, and elevated serum lactate dehydrogenase, alanine aminotransferase, and creatine kinase activities. Health care workers are a high-risk group, and advanced age is strongly associated with disease severity. Treatment has been empirical, and there is no licensed SARS vaccine for humans so far. However, presence of long-lived neutralizing antibodies and memory T- and B-lymphocytes in convalescent SARS patients raises hope for active immunization. Furthermore, results from preclinical SARS vaccines expressing spike protein to elicit neutralizing antibodies and cellular responses that are protective in mouse and nonhuman primate models are encouraging. Very little is known of the early events in viral clearance and the onset of innate and inflammatory responses during the SARS infection. Regulation of the innate immune response is associated with the development of adaptive immunity and disease severity in SARS infection. Notably, SARS-CoV has evolved evasive strategies to suppress antiviral type I interferon responses in infected cells. In addition, inflammatory responses are characterized by upregulation of proinflammatory cytokines/chemokines such as IL-6, IP-10, and MCP-1 in tissues and serum, and massive infiltrations of inflammatory cells such as macrophages in infected tissues. Due to the lack of animal models that mimic the clinical manifestations of human SARS infection for mechanistic study and vaccine evaluation, development of a safe prophylactic SARS vaccine for human use remains a huge challenge. This chapter is written to summarize and highlight the latest clinical, serological, and immunological parameters relevant to the pathogenesis and protective immunity of SARS infection in humans.",2009-07-22,"Li, Chris Ka-fai; Xu, Xiaoning",Molecular Biology of the SARS-Coronavirus,,,,document_parses/pdf_json/88d2540f6722a38897471e7fd766af7904c786c1.json,document_parses/pmc_json/PMC7123234.xml.json,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7123234/,
