topic cord_uid position rank_value relevance
1 t4ns3syl 1 4.6627826945126385 2
1 cns5rnj8 2 4.555525853837049 1
1 tcrxm7jy 3 4.468741632718474 2
1 ienet82k 4 4.446178014705749 0
1 8fmykb4c 5 4.301871884070995 0
1 dc30gkfe 6 3.606204140169022 0
1 8kqhvxlz 7 2.450592810741634 2
1 3qzlo90e 8 2.3761735905646804 0
1 lk67yfrp 9 2.321184283993641 0
1 0t2a5500 10 2.3082184099415386 2
2 k38xlki3 1 14.167115457092002 0
2 e4crbz0c 2 13.075126910316735 0
2 h3ngmi4c 3 10.686322570996346 0
2 ym7ce5ux 4 10.491989673338683 0
2 3qzlo90e 5 10.294403619522871 0
2 imjtwt0b 6 9.686385204616345 0
2 miyvn7vd 7 8.417252456480723 2
3 5nyoxono 1 5.810478192979069 1
3 8qwisxhl 2 5.745679438385136 0
3 1waejlwb 3 4.563890681620242 0
3 qu7ddcw9 4 2.817053913490824 1
3 tcrxm7jy 5 2.617151042683329 0
3 fbq9ht8l 6 2.5674042543810884 0
3 1ksz6nmx 7 2.531348888589152 0
3 x1u70y1x 8 2.3730583496514313 0
4 d4rphs30 1 14.1347507629366 1
4 tr5whji0 2 8.216810669328188 1
4 fowfz59x 3 7.756520623133238 0
4 1waejlwb 4 7.552122061358513 0
4 dc30gkfe 5 7.171569680601269 0
4 qu7ddcw9 6 6.2574720083062605 0
4 ienet82k 7 6.230157390080186 0
4 542e5h1u 8 6.124746959186984 0
5 qu7ddcw9 1 9.46104591987462 0
5 hchioraj 2 7.711362135982161 0
5 tcrxm7jy 3 6.752968609510581 0
5 ypv2a9yr 4 6.0989164160772695 0
5 x1u70y1x 5 5.551767509030774 0
5 9q7zbmwp 6 5.026341037741268 0
5 k38xlki3 7 4.461083635022659 0
5 lgrk3w7w 8 4.461083635022659 1
5 ncl2p7kg 9 4.461083635022659 0
6 mzgkbql0 1 15.066759463555405 0
6 vbye4nrj 2 10.535188975100654 1
6 p9w9fwak 3 10.063081580497043 2
6 ym7ce5ux 4 9.587042531045054 1
7 pvo61ay8 1 10.899941938561552 0
7 o4njvi62 2 9.242853985956938 0
7 iawcsntb 3 8.781121073174978 0
7 0te5ybjv 4 7.19495675370953 2
7 5nyoxono 5 5.906670660438007 0
7 ienet82k 6 4.525409297841761 0
7 m9xifjth 7 4.365719498680898 0
7 miupbeuy 8 4.3552961053726005 1
8 pi6a2ql7 1 5.113318657851651 0
8 ciuynofm 2 4.041842884708511 1
9 miadomgn 1 7.455249630587253 0
9 hxn46xnn 2 7.1220463581763855 1
9 ienet82k 3 3.8883515839328586 0
9 0zzs5cy8 4 3.8014548715502454 0
9 w19kd6yp 5 3.7273109191586653 0
9 nzjz0q8b 6 3.7247546032997927 0
9 dc30gkfe 7 3.6274264345723277 1
10 7k4o3lt4 1 14.854643003041325 0
10 jmhexmet 2 14.46740349219416 2
10 ym7ce5ux 3 12.190029005499767 0
10 ienet82k 4 9.18814933565133 0
10 ciuynofm 5 8.771468390038011 0
