topic cord_uid position rank_value relevance
1 tcrxm7jy 1 0.20418564013202545 2
1 t4ns3syl 2 0.08811475408346699 2
1 8fmykb4c 3 0.07259444273075136 0
1 ienet82k 4 0.065548070667188 0
1 dc30gkfe 5 0.05885103711398084 0
1 zv0ysi8m 6 0.04051821539229255 1
1 3qzlo90e 7 0.027630941980345207 0
1 cns5rnj8 8 0.025943418365986005 1
1 lk67yfrp 9 0.02489832585793559 0
1 0t2a5500 10 0.01753341847517404 2
2 e4crbz0c 1 0.07967933964223792 0
2 h3ngmi4c 2 0.06948966731082107 0
2 imjtwt0b 3 0.022705162408460364 0
2 k38xlki3 4 0.01793706653257701 0
2 miyvn7vd 5 0.010457520361061182 2
2 3qzlo90e 6 0.0 0
2 ym7ce5ux 7 0.0 0
3 5nyoxono 1 0.1995252715089176 1
3 1waejlwb 2 0.11399962251055953 0
3 1ksz6nmx 3 0.056503423552023174 0
3 qu7ddcw9 4 0.05218946153330903 1
3 8qwisxhl 5 0.04030441877363934 0
3 fbq9ht8l 6 0.025418485771269886 0
3 tcrxm7jy 7 0.010923665549889995 0
3 x1u70y1x 8 0.010611814363901519 0
4 1waejlwb 1 0.15597186765203228 0
4 ienet82k 2 0.08609928400805558 0
4 dc30gkfe 3 0.023222189554294777 0
4 tr5whji0 4 0.009786903601578894 1
4 qu7ddcw9 5 0.008383944548505901 0
4 fowfz59x 6 0.005527326774653051 0
4 d4rphs30 7 0.005483164734471268 1
4 542e5h1u 8 0.0042252169200570205 0
5 ypv2a9yr 1 0.13977995497234444 0
5 hchioraj 2 0.1002274702290566 0
5 qu7ddcw9 3 0.09471140748872202 0
5 x1u70y1x 4 0.07614744448847346 0
5 ncl2p7kg 5 0.06761293796423434 0
5 lgrk3w7w 6 0.059314847930083556 1
5 9q7zbmwp 7 0.04545865080004469 0
5 tcrxm7jy 8 0.030850024367429285 0
5 k38xlki3 9 0.02516269331431959 0
6 mzgkbql0 1 0.14323499126170025 0
6 p9w9fwak 2 0.010054566986289993 2
6 ym7ce5ux 3 0.006111705247294184 1
6 vbye4nrj 4 0.0044365999179952435 1
7 iawcsntb 1 0.18308503963025305 0
7 5nyoxono 2 0.10546942502971937 0
7 pvo61ay8 3 0.05617311050159491 0
7 0te5ybjv 4 0.04474080515575461 2
7 o4njvi62 5 0.03238535432495663 0
7 miupbeuy 6 0.023368668741985166 1
7 ienet82k 7 0.007806129783721813 0
7 m9xifjth 8 0.0055911564883529335 0
8 pi6a2ql7 1 0.008446179954128373 0
8 ciuynofm 2 0.003761983946986905 1
9 0zzs5cy8 1 0.1622403407055885 0
9 nzjz0q8b 2 0.09868368697141974 0
9 dc30gkfe 3 0.05014142816089947 1
9 miadomgn 4 0.04505508231991112 0
9 ienet82k 5 0.041108847745632685 0
9 w19kd6yp 6 0.0019037718824768458 0
9 hxn46xnn 7 0.0 1
10 jmhexmet 1 0.17409715216166446 2
10 7k4o3lt4 2 0.11079339711785328 0
10 ym7ce5ux 3 0.03971024967773088 0
10 ienet82k 4 0.028101559310245477 0
10 ciuynofm 5 0.0017907814092326545 0
