topic cord_uid position rank_value relevance
1 ienet82k 1 0.08335850440744216 0
1 tcrxm7jy 2 0.08332460326986982 2
1 t4ns3syl 3 0.08026090318753665 2
1 cns5rnj8 4 0.06893627372914396 1
1 8fmykb4c 5 0.05595577788519176 0
1 dc30gkfe 6 0.049035554682639766 0
1 8kqhvxlz 7 0.002153019103807885 2
1 3qzlo90e 8 0.0012731298097522507 0
1 zv0ysi8m 9 0.0007418801898235961 1
1 lk67yfrp 10 0.0007109663987460616 0
2 e4crbz0c 1 0.12487147291018945 0
2 k38xlki3 2 0.11382146690578479 0
2 h3ngmi4c 3 0.0360195944910589 0
2 ym7ce5ux 4 0.02898628633975853 0
2 3qzlo90e 5 0.02455327041876153 0
2 imjtwt0b 6 0.011064490723767832 0
2 miyvn7vd 7 0.0004097951689971663 2
3 5nyoxono 1 0.1467325306186923 1
3 8qwisxhl 2 0.14664891275962458 0
3 1waejlwb 3 0.055337194582334964 0
3 qu7ddcw9 4 0.002826074073834749 1
3 tcrxm7jy 5 0.0007848092911979125 0
3 fbq9ht8l 6 0.0004747624763588242 0
3 1ksz6nmx 7 0.00041012343380759735 0
3 x1u70y1x 8 0.0 0
4 d4rphs30 1 0.30412680872908904 1
4 tr5whji0 2 0.03164765325793496 1
4 fowfz59x 3 0.017626752048337933 0
4 dc30gkfe 4 0.016635940116634666 0
4 1waejlwb 5 0.016366574566726376 0
4 qu7ddcw9 6 0.0014253974880094151 0
4 ienet82k 7 0.0012831030161814412 0
4 542e5h1u 8 0.000487716541833499 0
5 qu7ddcw9 1 0.1250701808143191 0
5 hchioraj 2 0.10897285718979641 0
5 tcrxm7jy 3 0.06360898004448716 0
5 ypv2a9yr 4 0.03214958532227124 0
5 x1u70y1x 5 0.012813557161286494 0
5 9q7zbmwp 6 0.004523778551500793 0
5 k38xlki3 7 0.0 0
5 lgrk3w7w 8 0.0 1
5 ncl2p7kg 9 0.0 0
6 mzgkbql0 1 0.1860379786514346 0
6 vbye4nrj 2 0.07313835837210307 1
6 p9w9fwak 3 0.05918998481725949 2
6 ym7ce5ux 4 0.04457108789934677 1
7 pvo61ay8 1 0.2239670465634514 0
7 o4njvi62 2 0.15863619629391157 0
7 iawcsntb 3 0.09357102587032598 0
7 0te5ybjv 4 0.08010877552650388 2
7 5nyoxono 5 0.04473781189050704 0
7 ienet82k 6 0.001959347275057692 0
7 m9xifjth 7 0.0006165836151121616 0
7 miupbeuy 8 0.0005136549991258957 1
8 pi6a2ql7 1 0.20723326903507366 0
8 ciuynofm 2 0.07711932248943996 1
9 miadomgn 1 0.11939418934718417 0
9 hxn46xnn 2 0.0980125407509282 1
9 ienet82k 3 0.0016848818088205102 0
9 0zzs5cy8 4 0.0008545773136082777 0
9 nzjz0q8b 5 0.0005936830775217412 0
9 w19kd6yp 6 0.0004619031195975923 0
9 dc30gkfe 7 0.00030588792779638667 1
10 jmhexmet 1 0.12504331768308505 2
10 7k4o3lt4 2 0.10902671332168273 0
10 ym7ce5ux 3 0.06158253341721401 0
10 ienet82k 4 0.0011131065028557497 0
10 ciuynofm 5 0.0 0
