topic cord_uid position rank_value relevance
1 ienet82k 1 0.09172014884558867 0
1 tcrxm7jy 2 0.07927110142728978 2
1 t4ns3syl 3 0.07635644152566565 2
1 dc30gkfe 4 0.06701598220948496 0
1 cns5rnj8 5 0.06558272265759953 1
1 8fmykb4c 6 0.05323369053212011 0
1 8kqhvxlz 7 0.022627207855692555 2
1 zv0ysi8m 8 0.006032434371214405 1
1 3qzlo90e 9 0.0 0
1 lk67yfrp 10 0.0 0
2 e4crbz0c 1 0.09965930275790365 0
2 k38xlki3 2 0.08288908249143889 0
2 h3ngmi4c 3 0.028747059588086595 0
2 3qzlo90e 4 0.0003875537805214398 0
2 imjtwt0b 5 0.00034251428988115855 0
2 miyvn7vd 6 0.00032705549044967163 2
2 ym7ce5ux 7 0.00023104745243980834 0
3 1waejlwb 1 0.1870778907433146 0
3 5nyoxono 2 0.12163116774632778 1
3 8qwisxhl 3 0.08326161787747995 0
3 qu7ddcw9 4 0.07003807742874342 1
3 1ksz6nmx 5 0.05468874074703354 0
3 x1u70y1x 6 0.012462697206205187 0
3 tcrxm7jy 7 0.011951569162881837 0
3 fbq9ht8l 8 0.008877548347598371 0
4 ienet82k 1 0.15058828418155837 0
4 1waejlwb 2 0.14004864215658178 0
4 tr5whji0 3 0.045353921278895454 1
4 542e5h1u 4 0.04036754271649817 0
4 dc30gkfe 5 0.01451411894114436 0
4 qu7ddcw9 6 0.012828168067811828 0
4 fowfz59x 7 0.00845729315368643 0
4 d4rphs30 8 0.008389721371646156 1
5 hchioraj 1 0.18029225829967355 0
5 ncl2p7kg 2 0.0961243492101386 0
5 tcrxm7jy 3 0.0763264452385181 0
5 qu7ddcw9 4 0.07218900862768517 0
5 9q7zbmwp 5 0.0711366852810541 0
5 lgrk3w7w 6 0.06683285425445827 1
5 k38xlki3 7 0.0496058951498818 0
5 x1u70y1x 8 0.03362936291482686 0
5 ypv2a9yr 9 0.0 0
6 mzgkbql0 1 0.13221798469678725 0
6 p9w9fwak 2 0.08456608151763474 2
6 vbye4nrj 3 0.03519306244991399 1
6 ym7ce5ux 4 0.02992186510538326 1
7 pvo61ay8 1 0.28787841656167346 0
7 0te5ybjv 2 0.20597354015572958 2
7 iawcsntb 3 0.18816811762918986 0
7 o4njvi62 4 0.11537142468458401 0
7 5nyoxono 5 0.08703151860521809 0
7 miupbeuy 6 0.047008038996024404 1
7 m9xifjth 7 0.028438077527434664 0
7 ienet82k 8 0.0014249754586679998 0
8 ciuynofm 1 0.002564262113583579 1
8 pi6a2ql7 2 0.0 0
9 miadomgn 1 0.10392247531233317 0
9 hxn46xnn 2 0.0878272029279266 1
9 0zzs5cy8 3 0.03820676236018858 0
9 nzjz0q8b 4 0.03327674253816766 0
9 dc30gkfe 5 0.010268340556727477 1
9 ienet82k 6 0.0072445038662427175 0
9 w19kd6yp 7 0.0 0
10 jmhexmet 1 0.09728070571487474 2
10 7k4o3lt4 2 0.09293446616674074 0
10 ym7ce5ux 3 0.05145254586965356 0
10 ienet82k 4 0.02431091074594819 0
10 ciuynofm 5 0.002320314360872361 0
